train_loss,train_acc_step,epoch,step,val_acc_step,val_loss,val_acc_epoch,train_acc_epoch,test_acc_step,test_loss,test_acc_epoch
1.9413800239562988,0.28125,0,49,,,,,,,
1.707064151763916,0.40625,0,99,,,,,,,
1.5948764085769653,0.40625,0,149,,,,,,,
1.7093452215194702,0.46875,0,199,,,,,,,
1.5155315399169922,0.5625,0,249,,,,,,,
1.547544240951538,0.40625,0,299,,,,,,,
1.6142586469650269,0.40625,0,349,,,,,,,
1.4960274696350098,0.46875,0,399,,,,,,,
1.0150020122528076,0.6875,0,449,,,,,,,
1.1940538883209229,0.6875,0,499,,,,,,,
1.0960317850112915,0.59375,0,549,,,,,,,
1.4363042116165161,0.5625,0,599,,,,,,,
1.5907024145126343,0.375,0,649,,,,,,,
1.1152732372283936,0.59375,0,699,,,,,,,
1.3952966928482056,0.5,0,749,,,,,,,
1.268227219581604,0.4375,0,799,,,,,,,
0.9077060222625732,0.65625,0,849,,,,,,,
1.1512739658355713,0.53125,0,899,,,,,,,
1.109802007675171,0.6875,0,949,,,,,,,
0.864665687084198,0.6875,0,999,,,,,,,
1.142428994178772,0.65625,0,1049,,,,,,,
1.1786364316940308,0.65625,0,1099,,,,,,,
1.2249122858047485,0.625,0,1149,,,,,,,
1.0538861751556396,0.625,0,1199,,,,,,,
1.1370961666107178,0.53125,0,1249,,,,,,,
1.3578861951828003,0.65625,0,1299,,,,,,,
1.2594490051269531,0.5625,0,1349,,,,,,,
1.2960189580917358,0.5625,0,1399,,,,,,,
,,,0,0.8125,,,,,,
,,,1,0.65625,,,,,,
,,,2,0.53125,,,,,,
,,,3,0.625,,,,,,
,,,4,0.625,,,,,,
,,,5,0.625,,,,,,
,,,6,0.5625,,,,,,
,,,7,0.75,,,,,,
,,,8,0.53125,,,,,,
,,,9,0.65625,,,,,,
,,,10,0.5625,,,,,,
,,,11,0.59375,,,,,,
,,,12,0.5,,,,,,
,,,13,0.5625,,,,,,
,,,14,0.59375,,,,,,
,,,15,0.6875,,,,,,
,,,16,0.53125,,,,,,
,,,17,0.625,,,,,,
,,,18,0.65625,,,,,,
,,,19,0.6875,,,,,,
,,,20,0.59375,,,,,,
,,,21,0.59375,,,,,,
,,,22,0.65625,,,,,,
,,,23,0.59375,,,,,,
,,,24,0.78125,,,,,,
,,,25,0.65625,,,,,,
,,,26,0.5625,,,,,,
,,,27,0.5,,,,,,
,,,28,0.65625,,,,,,
,,,29,0.8125,,,,,,
,,,30,0.4375,,,,,,
,,,31,0.625,,,,,,
,,,32,0.6875,,,,,,
,,,33,0.59375,,,,,,
,,,34,0.8125,,,,,,
,,,35,0.59375,,,,,,
,,,36,0.59375,,,,,,
,,,37,0.71875,,,,,,
,,,38,0.75,,,,,,
,,,39,0.65625,,,,,,
,,,40,0.6875,,,,,,
,,,41,0.59375,,,,,,
,,,42,0.78125,,,,,,
,,,43,0.5,,,,,,
,,,44,0.625,,,,,,
,,,45,0.65625,,,,,,
,,,46,0.625,,,,,,
,,,47,0.5625,,,,,,
